Posicion Liga,Nombre Equipo,Puntos,Partidos,Victorias,Empates,Derrotas,Goles A Favor,Goles En Contra,Puntos Casa,Partidos Casa,Victorias Casa,Empates Casa,Derrotas Casa,Goles A Favor Casa,Goles En Contra Casa,Punto sFuera,Partidos Fuera,Victorias Fuera,Empates Fuera,Derrotas Fuera,Goles A Favor Fuera,Goles En Contra Fuera
1,Real Madrid,62,25,19,5,1,53,16,32,12,10,2,0,30,7,30,13,9,3,1,23,9
2,Girona,56,25,17,5,3,54,32,29,12,9,2,1,30,14,27,13,8,3,2,24,18
3,Barcelona,54,25,16,6,3,52,34,28,13,9,1,3,28,19,26,12,7,5,0,24,15
4,Atlético,51,25,16,3,6,50,26,37,13,12,1,0,32,12,14,12,4,2,6,18,14
5,Athletic,49,25,14,7,4,45,23,32,13,10,2,1,34,14,17,12,4,5,3,11,9
6,R. Sociedad,40,26,10,10,6,35,26,20,13,5,5,3,19,15,20,13,5,5,3,16,11
7,Betis,39,25,9,12,4,28,25,24,13,6,6,1,16,9,15,12,3,6,3,12,16
8,Valencia,36,25,10,6,9,29,29,24,12,7,3,2,15,6,12,13,3,3,7,14,23
9,Las Palmas,35,25,10,5,10,25,25,21,12,6,3,3,16,9,14,13,4,2,7,9,16
10,Getafe,34,25,8,10,7,33,34,24,12,7,3,2,14,10,10,13,1,7,5,19,24
11,Osasuna,32,25,9,5,11,29,36,18,13,5,3,5,14,17,14,12,4,2,6,15,19
12,Villarreal,29,26,7,8,11,38,48,13,13,3,4,6,19,23,16,13,4,4,5,19,25
13,Alavés,28,25,7,7,11,24,31,17,12,5,2,5,13,15,11,13,2,5,6,11,16
14,Rayo,25,25,5,10,10,22,33,9,12,1,6,5,11,21,16,13,4,4,5,11,12
15,Sevilla,24,25,5,9,11,30,37,14,13,3,5,5,17,19,10,12,2,4,6,13,18
16,Mallorca,23,25,4,11,10,22,33,16,13,3,7,3,12,12,7,12,1,4,7,10,21
17,Celta,20,25,4,8,13,27,37,10,13,2,4,7,9,17,10,12,2,4,6,18,20
18,Cádiz,17,25,2,11,12,15,35,12,12,2,6,4,9,15,5,13,0,5,8,6,20
19,Granada,14,25,2,8,15,27,49,12,13,2,6,5,16,22,2,12,0,2,10,11,27
20,Almería,8,25,0,8,17,23,52,6,12,0,6,6,10,21,2,13,0,2,11,13,31
