Año,Ganador AO,Nacionalidad AO,Ganador RG,Nacionalidad RG,Ganador WB,Nacionalidad WB,Ganador USO,Nacionalidad USO
1877,,,,,Spencer Gore (1/1),Reino Unido,,
1878,,,,,Frank Hadow (1/1),Reino Unido,,
1879,,,,,John Hartley (1/2),Reino Unido,,
1880,,,,,John Hartley (2/2),Reino Unido,,
1881,,,,,William Renshaw (1/7),Reino Unido,Richard Sears (1/7),Estados Unidos
1882,,,,,William Renshaw (2/7),Reino Unido,Richard Sears (2/7),Estados Unidos
1883,,,,,William Renshaw (3/7),Reino Unido,Richard Sears (3/7),Estados Unidos
1884,,,,,William Renshaw (4/7),Reino Unido,Richard Sears (4/7),Estados Unidos
1885,,,,,William Renshaw (5/7),Reino Unido,Richard Sears (5/7),Estados Unidos
1886,,,,,William Renshaw (6/7),Reino Unido,Richard Sears (6/7),Estados Unidos
1887,,,,,Herbert Lawford (1/1),Reino Unido,Richard Sears (7/7),Estados Unidos
1888,,,,,Ernest Renshaw (1/1),Reino Unido,Henry Slocum (1/2),Estados Unidos
1889,,,,,William Renshaw (7/7),Reino Unido,Henry Slocum (2/2),Estados Unidos
1890,,,,,Willoughby Hamilton (1/1),Reino Unido,Oliver Campbell (1/3),Estados Unidos
1891,,,H. Briggs,Reino Unido,Wilfred Baddeley (1/3),Reino Unido,Oliver Campbell (2/3),Estados Unidos
1892,,,Jean Schopfer,Francia,Wilfred Baddeley (2/3),Reino Unido,Oliver Campbell (3/3),Estados Unidos
1893,,,Laurent Riboulet,Francia,Joshua Pim (1/2),Reino Unido,Robert Wrenn (1/4),Estados Unidos
1894,,,André Vacherot,Francia,Joshua Pim (2/2),Reino Unido,Robert Wrenn (2/4),Estados Unidos
1895,,,André Vacherot,Francia,Wilfred Baddeley (3/3),Reino Unido,Fred Hovey (1/1),Estados Unidos
1896,,,André Vacherot,Francia,Harold Mahoney (1/1),Reino Unido,Robert Wrenn (3/4),Estados Unidos
1897,,,Paul Aymé,Francia,Reginald Doherty (1/4),Reino Unido,Robert Wrenn (4/4),Estados Unidos
1898,,,Paul Aymé,Francia,Reginald Doherty (2/4),Reino Unido,Malcolm Whitman (1/3),Estados Unidos
1899,,,Paul Aymé,Francia,Reginald Doherty (3/4),Reino Unido,Malcolm Whitman (2/3),Estados Unidos
1900,,,Paul Aymé,Francia,Reginald Doherty (4/4),Reino Unido,Malcolm Whitman (3/3),Estados Unidos
1901,,,André Vacherot,Francia,Arthur Gore (1/3),Reino Unido,William Larned (1/7),Estados Unidos
1902,,,Michel Vacherot,Francia,Laurie Doherty (1/6),Reino Unido,William Larned (2/7),Estados Unidos
1903,,,Max Decugis,Francia,Laurie Doherty (2/6),Reino Unido,Laurie Doherty (3/6),Reino Unido
1904,,,Max Decugis,Francia,Laurie Doherty (4/6),Reino Unido,Holcombe Ward (1/1),Estados Unidos
1905,Rodney Heath (1/2),Australia,Maurice Germot,Francia,Laurie Doherty (5/6),Reino Unido,Beals Wright (1/1),Estados Unidos
